env,side,map,mode_n_type,round_dur_s,name,created_x0,created_z0,trigger_x1,trigger_z1,round_time_s
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_flash_detector,-33.076,27.132,-58.2607,22.5838,51
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-10.2895,-47.1927,-1.2447,-44.6568,114
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke_2,12.6027,10.8015,-15.5853,-10.1067,44
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,100,vt_grenade_smoke,-7.8295,12.2483,-9.1746,14.1371,98
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,87,vt_grenade_echo,-4.8578,18.1517,-23.9277,-14.1529,39
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/rating,127,vt_grenade_smoke_2,-29.8482,44.1997,-27.9265,49.4447,118
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_flash_detector,30.6351,42.9168,-10.8305,48.9977,63
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_flash,-63.0455,33.6419,-27.3968,24.3705,69
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_flash,19.9922,25.2418,11.8712,20.0956,86
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_smoke,11.4873,18.031,21.8881,28.6129,68
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_robotron,-6.9668,-60.2531,16.9629,-28.5949,84
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_echo,20.1934,32.8341,9.0372,26.8887,80
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-12.6441,-47.8013,-21.512,-41.2809,123
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_echo,-9.5828,25.7415,-14.1708,-10.6114,37
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_flash,-38.5037,-37.0123,-59.8757,-28.0159,43
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_echo,-59.3334,-19.2338,-44.6705,11.8719,33
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_smoke_2,-20.72,-7.7293,-20.2832,-6.8403,65
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_echo,10.2821,8.5845,16.9004,26.9188,93
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_flash,-48.0777,15.7668,-28.7781,27.2459,92
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.6336,-53.9016,-8.5266,-48.6018,27
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_flash_detector,-5.3937,25.0809,-18.0985,-11.6744,73
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_flash,-8.5066,1.4096,10.5939,8.7115,103
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_echo,-58.6517,-2.1003,-43.1629,30.1141,36
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke_2,12.2401,9.0427,-16.5786,-5.3927,34
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_smoke,-59.1934,17.4683,-48.1707,46.7559,75
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_smoke,39.6213,6.0492,29.853,21.8661,45
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,122,vt_grenade_smoke,-62.6959,17.5555,-57.0679,34.0048,112
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_flash_detector,20.1643,-33.9008,36.4096,-12.4719,60
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_flash_detector,-34.6393,-8.4916,1.8558,0.4946,51
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_echo,-63.2471,1.1674,-38.5912,30.086,54
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_smoke_2,-45.4263,13.8802,-48.3516,36.0204,41
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_echo,-20.1263,15.6645,-10.8028,-14.963,51
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,100,vt_grenade_flash,-6.9807,-2.003,-9.9838,12.2218,52
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_flash_detector,-40.2565,10.8778,-52.3398,40.8975,78
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke,-40.4997,20.7621,-60.6867,-4.7577,36
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_flash,-11.7,17.7385,-0.1693,-20.3132,96
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_smoke,7.4937,-24.0153,-17.3837,0.5289,52
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke_2,2.7538,33.6367,13.9481,27.8963,69
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,97,vt_grenade_echo,-14.7791,35.3767,-16.3788,26.0367,54
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-8.0592,-56.908,5.3222,-45.6022,109
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_flash_detector,-56.8136,20.8189,-40.402,8.3702,67
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.7715,43.3427,-11.4505,40.2896,89
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_smoke,-1.2402,-7.0746,4.0038,2.3412,41
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_echo,-8.7612,27.8653,-15.48,-9.1541,34
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.7139,-48.8834,-10.7788,-48.7668,16
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.2755,-52.5247,-9.9719,-49.3617,29
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke_2,11.2272,19.7118,6.9055,0.0345,78
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_echo,13.8937,28.4448,29.1991,19.1329,98
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_flash,32.8725,7.7188,21.1195,41.3256,49
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke,-41.6247,13.0607,-59.6694,-4.3742,31
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_smoke,-41.4429,20.3748,-53.0303,0.9982,54
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,87,vt_grenade_flash_detector,-63.7259,30.0888,-27.3965,23.9869,61
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/rating,126,vt_grenade_flash,-20.0201,59.4612,-14.9726,48.7577,85
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,97,vt_grenade_smoke,-15.9162,9.6495,-12.0711,37.8552,35
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_flash_detector,-43.4419,11.4572,-52.2628,46.8515,46
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_echo,28.8307,42.6794,30.0965,7.0734,82
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_molotov,-43.4895,21.4098,-41.7746,9.642,92
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke_2,12.6335,11.5848,-13.5833,-12.6091,57
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-12.5073,3.1471,-8.8554,15.0957,110
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_flash,8.7357,18.9306,33.4998,30.8313,78
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_flash,-45.1719,44.9038,-63.3416,17.3116,92
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_flash,39.1683,10.4777,35.7462,-25.1746,70
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke,-16.2202,-7.8218,-8.1859,13.8245,44
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-5.8487,-57.6515,-8.1655,-59.5538,108
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_molotov,-58.1361,10.1609,-40.4076,15.235,69
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,100,vt_grenade_molotov,-6.9807,-2.003,-9.3944,12.5061,49
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_flash,43.5987,37.6106,8.8789,19.9679,75
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_smoke_2,10.7665,6.9735,-18.747,-7.0229,44
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_smoke,-51.0045,37.6046,-41.9374,7.5592,39
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_flash,42.2792,39.6369,9.0193,21.1379,70
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,1.3064,45.5538,-0.7273,45.0334,81
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_echo,40.0157,-4.8999,29.3523,9.9422,41
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_flash,-45.5109,45.6551,-61.7847,18.7794,62
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke_2,10.0493,7.0366,9.5013,6.9052,43
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-15.5695,4.1549,-16.6593,11.3874,85
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_echo,-33.7198,-6.1619,-3.2298,3.8799,79
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_flash_detector,-50.8258,8.4902,-44.1656,21.6009,49
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_echo,19.0379,-34.5124,37.3189,-14.1695,37
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_smoke_2,-28.9821,18.7029,-58.9135,21.4699,89
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_smoke_2,-3.6554,-20.0329,1.2998,5.9711,38
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,87,vt_grenade_smoke,-53.9045,11.8807,-51.2156,12.6847,28
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-6.7358,-52.9574,-7.3158,-40.6705,24
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke_2,6.3003,-24.9597,-14.3816,5.1385,41
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_flash,17.4558,26.7957,29.2012,14.5327,50
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_smoke,-41.2525,18.1478,-56.6509,2.7948,23
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-5.0893,-44.995,-3.1883,-58.9572,69
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_smoke_2,3.6244,3.3785,14.9838,9.7346,51
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_smoke_2,-28.2612,-8.1923,-1.3034,3.9508,33
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_echo,-4.3334,26.687,-17.5554,-11.1424,36
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_molotov,-61.1174,-5.6861,-38.8302,19.0578,84
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-8.2819,-12.8204,-14.0003,-34.389,36
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_smoke_2,5.8226,-24.3398,-13.1847,6.1409,32
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke,-40.7683,18.1019,-48.9993,7.8772,31
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-6.0361,-49.5873,3.8156,-45.8979,93
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_smoke,6.6919,5.4536,9.5061,10.9486,60
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-28.7743,-37.2816,-35.7879,-30.0328,110
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,107,vt_grenade_echo,16.6897,46.0014,42.4222,27.5208,48
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_robotron,-7.9963,33.6166,-5.6564,10.5641,108
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke,-43.6714,24.104,-56.3994,-4.4732,27
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_smoke,-12.5208,13.8437,-7.4572,-5.9427,80
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_echo,10.0916,4.7889,11.8031,22.4444,80
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,100,vt_grenade_flash,-4.7108,-8.5091,-11.2028,12.5536,45
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke_2,6.1475,-24.4283,-14.4424,4.636,32
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_echo,36.753,0.5094,21.0847,29.0479,43
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_smoke,-62.3428,31.8031,-27.3546,23.514,50
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,130,vt_grenade_smoke_2,33.2129,12.5897,36.5132,1.6979,38
rushb-master,0,/battle/levels/24_shift/24_shift.level,bomb_5x5_economy/rating,108,vt_grenade_smoke,-11.6496,-39.4574,-9.7149,-31.6247,17
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,97,vt_grenade_smoke,-15.33,16.6473,-10.3627,29.3753,68
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_smoke_2,-1.7846,-14.8492,-14.2525,9.1509,53
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_echo,-28.7031,21.5987,-29.4777,30.0111,78
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-62.5652,34.3518,-59.0784,34.8791,118
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_echo,27.0615,48.3902,33.4889,6.5657,36
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_smoke_2,-28.8701,-9.4724,4.9491,5.6243,43
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-1.2105,-42.8276,13.5651,-45.2255,63
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_smoke_2,-28.2317,18.176,-56.9778,21.7256,64
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_flash,-4.7227,-18.9208,4.5316,2.3642,44
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_echo,-3.2805,15.5432,-20.5596,-10.8234,37
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke_2,30.7863,12.0269,25.9845,31.3122,50
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,1.5844,-16.8522,8.1808,-24.4479,66
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,111,vt_grenade_echo,-24.7202,17.7071,-2.4725,-15.4697,36
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_echo,-61.8988,-14.9999,-47.6303,13.1409,35
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_flash_detector,30.8461,11.0993,31.8088,42.8959,82
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_smoke,-32.2434,-8.9974,-16.5192,-6.0798,33
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_smoke,-41.7555,15.0038,-38.6818,29.9985,73
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_flash,-65.1178,22.2937,-28.3738,28.8992,71
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_smoke_2,12.9165,8.3067,-16.8633,-8.564,31
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_smoke_2,3.8989,-23.1976,-13.3614,6.4797,31
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-50.3973,-33.8221,-36.5014,-40.1268,113
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_smoke,12.641,15.2533,20.1818,28.9115,77
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-8.2054,-48.3443,-1.0191,-43.4063,107
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,149,vt_grenade_flash_detector,-24.9953,-9.6591,9.3321,6.0973,68
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_flash_detector,38.2814,2.9788,19.1022,35.0612,60
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-7.4875,28.0703,-14.8035,-5.0508,44
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,106,vt_grenade_smoke_2,7.621,6.1936,-17.8591,-7.4589,50
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,105,vt_grenade_smoke_2,-28.2473,-8.994,3.4454,4.4904,32
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_robotron,-48.6452,38.2929,-54.9151,29.6845,89
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.6883,48.5153,-11.5915,37.5342,73
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_echo,-61.0502,34.3402,-49.2599,36.2634,96
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,97,vt_grenade_flash_detector,-10.4796,33.3761,-9.1008,15.1961,45
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,88,vt_grenade_echo,-52.9244,8.3047,-44.028,21.8709,40
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_smoke_2,-52.4781,21.6686,-33.4147,30.0859,47
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_smoke_2,-44.2279,10.1357,-45.8188,15.8293,71
rushb-master,1,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_echo,31.968,18.353,36.2876,14.6745,113
rushb-playtest,0,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,87,vt_grenade_echo,-63.0588,34.2799,-52.3558,39.9663,77
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,114,vt_grenade_smoke_2,11.9986,6.9059,2.7845,2.3417,45
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-12.0073,-51.9442,-11.3581,-45.9852,26
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,108,vt_grenade_echo,-63.1475,1.3306,-58.562,-32.0536,42
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,99,vt_grenade_echo,-12.0867,22.8543,-1.3635,-14.8321,30
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,116,vt_grenade_echo,-6.1968,27.0739,-15.8456,-4.8131,34
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_robotron,-9.6167,-61.1153,16.9629,-28.3296,90
rushb-master,0,/battle/levels/23_reviera/23_reviera.level,bomb_5x5_economy/training,127,vt_grenade_smoke,-11.7139,-48.8834,-10.7399,-48.8654,16
rushb-playtest,1,/battle/levels/23_reviera_1/23_reviera.level,bomb_5x5_economy/training,124,vt_grenade_flash,-35.3406,45.2374,-48.0494,36.0163,88
